timestamp,open,high,low,close,volume
2021-01-29,45.5000,49.9000,43.9000,44.2900,28647785
2021-01-28,46.5100,52.0000,39.4700,43.1100,40856945
2021-01-27,44.6600,59.4300,40.1400,46.3500,78540192
2021-01-26,37.3200,44.0300,36.5900,42.0500,54398173
2021-01-25,35.2100,38.8700,32.1511,36.0000,31622183
2021-01-22,33.1100,34.4500,32.3000,34.2800,12918857
2021-01-21,32.5000,33.9000,31.6200,33.2700,13937557
2021-01-20,31.5600,32.9800,30.7600,32.0300,12758491
2021-01-19,32.5500,32.5800,30.5000,31.6500,20015303
2021-01-15,31.9300,32.4800,29.9200,30.4300,19145568
2021-01-14,31.0300,33.7200,30.1901,33.0300,58072000
2021-01-13,26.5600,27.8500,26.2500,27.5600,15018794
2021-01-12,25.1500,26.7300,24.9900,26.6600,11988544
2021-01-11,24.9700,25.7000,24.4300,24.9200,6491402
2021-01-08,25.6600,25.8600,24.8000,25.2200,8509136
2021-01-07,25.2500,25.9600,24.6900,25.1300,13066465
2021-01-06,24.0300,24.9300,23.7200,24.1700,8053048
2021-01-05,23.0800,24.4800,22.9600,24.1200,7564690
2021-01-04,23.9600,23.9700,22.8800,23.2100,7677728
2020-12-31,24.0900,24.1400,23.2501,23.7300,5721457
2020-12-30,23.8900,24.3800,23.6500,24.0100,6347533
2020-12-29,24.0400,24.2400,23.0100,23.7500,9346754
2020-12-28,26.1600,26.4900,23.6100,23.9400,16059936
2020-12-24,26.8100,26.8900,25.2600,25.8500,8784466
2020-12-23,25.5500,27.4400,25.2300,26.8200,18300607
2020-12-22,25.4200,25.9400,24.3500,25.4700,16954451
2020-12-21,24.1700,25.3050,23.9200,24.8000,15844832
2020-12-18,24.0000,25.3300,23.7800,23.8400,30338769
2020-12-17,25.6500,26.1500,24.7000,25.5000,18523734
2020-12-16,24.9800,26.8655,24.5100,25.8600,22639399
2020-12-15,26.9100,27.0500,24.3800,24.5100,30830899
2020-12-14,27.1100,28.8300,26.3800,26.4700,47120751
2020-12-11,31.9500,34.6000,31.8600,32.0400,18496934
2020-12-10,30.2300,32.6000,29.6100,32.1800,14617662
2020-12-09,34.0000,35.8200,30.5100,32.1300,25956772
2020-12-08,33.0700,33.6900,31.6100,33.3900,21554335
2020-12-07,29.5700,33.8700,29.0400,33.8000,28137632
2020-12-04,28.2000,29.2000,28.1500,28.7400,8686390
2020-12-03,27.7900,28.7773,27.5600,28.0800,9189689
2020-12-02,28.0000,28.0200,26.2900,27.5300,16387604
2020-12-01,28.0000,29.5900,27.1200,28.3500,18752570
2020-11-30,27.5800,28.0400,25.3200,26.6100,12751129
2020-11-27,28.8100,28.8824,27.0500,27.1700,10939084
2020-11-25,24.7500,27.8000,24.6200,27.1000,18083151
2020-11-24,25.1900,25.3800,24.3100,24.9600,9053300
2020-11-23,23.6100,25.3990,23.5000,24.9100,13596619
2020-11-20,24.5300,24.6000,23.0500,23.3100,11245012
2020-11-19,23.1500,24.3400,22.7800,24.0500,14278500
2020-11-18,21.4400,23.6900,21.2500,22.5900,18616351
2020-11-17,20.8200,21.6000,20.3700,21.3500,9125159
2020-11-16,20.6300,21.2200,19.8400,20.8900,22589647
2020-11-13,22.0200,22.3500,21.1300,22.2700,7348725
2020-11-12,21.4500,22.2500,20.8900,21.6200,9631960
2020-11-11,20.8900,22.3800,20.6000,21.9400,12873976
2020-11-10,20.7700,20.9300,19.1100,20.4700,9887212
