timestamp,open,high,low,close,volume
1/19/2021,32.55,32.58,30.5,31.65,20015303
1/15/2021,31.93,32.48,29.92,30.43,19145568
1/14/2021,31.03,33.72,30.1901,33.03,58072000
1/13/2021,26.56,27.85,26.25,27.56,15018794
1/12/2021,25.15,26.73,24.99,26.66,11988544
1/11/2021,24.97,25.7,24.43,24.92,6491402
1/8/2021,25.66,25.86,24.8,25.22,8509136
1/7/2021,25.25,25.96,24.69,25.13,13066465
1/6/2021,24.03,24.93,23.72,24.17,8053048
1/5/2021,23.08,24.48,22.96,24.12,7564690
1/4/2021,23.96,23.97,22.88,23.21,7677728
12/31/2020,24.09,24.14,23.2501,23.73,5721457
12/30/2020,23.89,24.38,23.65,24.01,6347533
12/29/2020,24.04,24.24,23.01,23.75,9346754
12/28/2020,26.16,26.49,23.61,23.94,16059936
12/24/2020,26.81,26.89,25.26,25.85,8784466
12/23/2020,25.55,27.44,25.23,26.82,18300607
12/22/2020,25.42,25.94,24.35,25.47,16954451
12/21/2020,24.17,25.305,23.92,24.8,15844832
12/18/2020,24,25.33,23.78,23.84,30338769
12/17/2020,25.65,26.15,24.7,25.5,18523734
12/16/2020,24.98,26.8655,24.51,25.86,22639399
12/15/2020,26.91,27.05,24.38,24.51,30830899
12/14/2020,27.11,28.83,26.38,26.47,47120751
12/11/2020,31.95,34.6,31.86,32.04,18496934
12/10/2020,30.23,32.6,29.61,32.18,14617662
12/9/2020,34,35.82,30.51,32.13,25956772
12/8/2020,33.07,33.69,31.61,33.39,21554335
12/7/2020,29.57,33.87,29.04,33.8,28137632
12/4/2020,28.2,29.2,28.15,28.74,8686390
12/3/2020,27.79,28.7773,27.56,28.08,9189689
12/2/2020,28,28.02,26.29,27.53,16387604
12/1/2020,28,29.59,27.12,28.35,18752570
11/30/2020,27.58,28.04,25.32,26.61,12751129
11/27/2020,28.81,28.8824,27.05,27.17,10939084
11/25/2020,24.75,27.8,24.62,27.1,18083151
11/24/2020,25.19,25.38,24.31,24.96,9053300
11/23/2020,23.61,25.399,23.5,24.91,13596619
11/20/2020,24.53,24.6,23.05,23.31,11245012
11/19/2020,23.15,24.34,22.78,24.05,14278500
11/18/2020,21.44,23.69,21.25,22.59,18616351
11/17/2020,20.82,21.6,20.37,21.35,9125159
11/16/2020,20.63,21.22,19.84,20.89,22589647
11/13/2020,22.02,22.35,21.13,22.27,7348725
11/12/2020,21.45,22.25,20.89,21.62,9631960
11/11/2020,20.89,22.38,20.6,21.94,12873976
11/10/2020,20.77,20.93,19.11,20.47,9887212
11/9/2020,20,21.38,19.34,20.45,14544938
11/6/2020,20,20.2,18.37,19.03,13387805
11/5/2020,18.25,19.17,18.03,19.17,11863498
11/4/2020,18.49,18.81,17.85,18.03,7847311
11/3/2020,17.89,18.67,17.6791,18.45,8482307
11/2/2020,17.43,18.19,17.14,17.66,9873297
10/30/2020,18.13,18.13,17.02,17.42,8021613
10/29/2020,17.68,18.315,17.47,18.18,8614290
10/28/2020,17.98,18.15,17.33,17.48,8879172
10/27/2020,18.43,18.98,18.2,18.29,6046074
10/26/2020,19,19.24,17.91,18.32,12612027
10/23/2020,20.8,20.82,19.05,19.14,16148382
10/22/2020,20.64,21.3,20.5,20.73,8662271
10/21/2020,23.24,23.35,20.25,20.44,21009910
10/20/2020,22.91,24.37,22.652,23.03,25863778
10/19/2020,23,23.62,22.23,22.82,17276071
10/16/2020,22,23.4,21.87,22.44,23733442
10/15/2020,20.9,21.86,20.66,21.64,7764694
10/14/2020,21.88,21.95,20.98,21.33,8391716
10/13/2020,20.5,21.98,19.92,21.81,13081197
10/12/2020,21.5,21.5,20.55,20.57,8702401
10/9/2020,22.16,22.203,21.31,21.4,10078183
10/8/2020,22.45,22.54,21.55,22.09,10147657
10/7/2020,21.61,22.2597,21.5215,21.82,13066119
10/6/2020,21.27,22.53,20.8,21.03,23874519
10/5/2020,21.22,21.64,20.56,21.01,13252880
10/2/2020,19.07,20.91,18.82,20.77,19567446
10/1/2020,19.25,20.37,19.15,20.17,13913884
9/30/2020,20.06,20.85,18.96,19.23,19632189
9/29/2020,20.69,20.98,19.59,20.44,32274095
9/28/2020,18.29,20.78,18.1,20.51,54571718
9/25/2020,15.97,16.47,15.87,16.43,5428466
9/24/2020,15.5,16.34,14.92,15.92,11891000
9/23/2020,16.44,16.69,15.54,15.73,9965116
9/22/2020,16.49,16.61,16.12,16.47,6971917
9/21/2020,16.76,16.9873,15.895,16.48,10817357
9/18/2020,17.22,17.38,16.815,17.21,8275807
9/17/2020,17,17.32,16.72,17.18,7316156
9/16/2020,17.53,17.79,17.28,17.41,6738463
9/15/2020,17.48,18.08,17.17,17.7,8909104
9/14/2020,16.8,17.4689,16.6199,17.39,7629580
9/11/2020,17.45,17.6,16.33,16.56,12764685
9/10/2020,17.84,18.4599,17.29,17.45,12749765
9/9/2020,18.18,18.705,17.12,17.71,20204473
9/8/2020,16.39,18.25,16,17.4,20267088
